table_name;bestandsnaam;column_name;ordinal_position;p01;p35;p06;factor
ices_0676;01110676.txt;secchi_depth_m;13;;EXTRA003;ULAA;
ices_0676;01110676.txt;temperature_degc;16;;WATERTEMP;UPAA;
ices_0676;01110676.txt;practical_salinity_dmnless;17;;EPC00001;UPPT;
ices_0763;01110763.txt;temperature_degc;14;;WATERTEMP;UPAA;
ices_0763;01110763.txt;practical_salinity_dmnless;15;;EPC00001;UPPT;
ices_0763;01110763.txt;phosphate_phosphorus_po4_p_umol_l;16;;EPC00007;UPOX;
ices_0763;01110763.txt;silicate_silicon_sio4_si_umol_l;17;;EPC00008;UPOX;
ices_0763;01110763.txt;nitrate_nitrogen_no3_n_umol_l;18;;EPC00005;UPOX;
ices_1921;01111921.txt;secchi_depth_m_metavar_float;13;;EXTRA003;ULAA;
ices_1921;01111921.txt;temperature_degc;16;;WATERTEMP;UPAA;
ices_1921;01111921.txt;practical_salinity_dmnless;17;;EPC00001;UPPT;
ices_1921;01111921.txt;dissolved_oxygen_ml_l;18;;EPC00002;UMLL;
ices_1921;01111921.txt;dissolved_oxygen_ml_kg;19;;EPC00002;MIKG;
ices_1921;01111921.txt;phosphate_phosphorus_po4_p_umol_l;20;;EPC00007;UPOX;
ices_1921;01111921.txt;silicate_silicon_sio4_si_umol_l;21;;EPC00008;UPOX;
ices_1921;01111921.txt;nitrate_nitrogen_no3_n_umol_l;22;;EPC00005;UPOX;
ices_1921;01111921.txt;hydrogen_ion_concentration_ph_ph;23;;EPC00168;UUPH;
ices_1921;01111921.txt;chlorophyll_a_ug_l;24;;EPC00105;UMMC;
ices_2086;01112086.txt;temperature_degc;14;;WATERTEMP;UPAA;
ices_5227;01115227.txt;secchi_depth_m_metavar_float;13;;EXTRA003;ULAA;
ices_5227;01115227.txt;temperature_degc;16;;WATERTEMP;UPAA;
ices_5227;01115227.txt;practical_salinity_dmnless;17;;EPC00001;UPPT;
ices_5227;01115227.txt;dissolved_oxygen_ml_l;18;;EPC00002;UMLL;
ices_5227;01115227.txt;dissolved_oxygen_ml_kg;19;;EPC00002;MIKG;
ices_5227;01115227.txt;phosphate_phosphorus_po4_p_umol_l;20;;EPC00007;UPOX;
ices_5227;01115227.txt;phosphate_phosphorus_po4_p_umol_kg;21;;EPC00007;KGUM;
ices_5227;01115227.txt;total_phosphorus_p_umol_l;22;;EPC00135;UPOX;
ices_5227;01115227.txt;silicate_silicon_sio4_si_umol_l;23;;EPC00008;UPOX;
ices_5227;01115227.txt;silicate_silicon_sio4_si_umol_kg;24;;EPC00008;KGUM;
ices_5227;01115227.txt;nitrate_nitrogen_no3_n_umol_l;25;;EPC00005;UPOX;
ices_5227;01115227.txt;nitrate_nitrogen_no3_n_umol_kg;26;;EPC00005;KGUM;
ices_5227;01115227.txt;nitrite_nitrogen_no2_n_umol_l;27;;EPC00006;UPOX;
ices_5227;01115227.txt;nitrite_nitrogen_no2_n_umol_kg;28;;EPC00006;KGUM;
ices_5227;01115227.txt;ammonium_nitrogen_nh4_n_umol_l;29;;EPC00009;UPOX;
ices_5227;01115227.txt;ammonium_nitrogen_nh4_n_umol_kg;30;;EPC00009;KGUM;
ices_5227;01115227.txt;total_nitrogen_n_umol_l;31;;EPC00134;UPOX;
ices_5227;01115227.txt;hydrogen_sulphide_h2s_s_umol_l;32;;H2SXZZ01;UPOX;
ices_5227;01115227.txt;hydrogen_ion_concentration_ph_ph;33;;EPC00168;UUPH;
ices_5227;01115227.txt;alkalinity_meq_l;34;;EPC00131;MEQL;
ices_5227;01115227.txt;alkalinity_meq_kg;35;;EPC00131;MEKG;
ices_5227;01115227.txt;chlorophyll_a_ug_l;36;;EPC00105;UMMC;
ices_5227;01115227.txt;chlorophyll_a_ug_kg;37;;EPC00105;UUKG;