originalName;p01;p06
DATE_UTC;;
TIME_UTC;;
station;;
bottle_id;;
LATITUDE;;
LONGITUDE;;
depth_nominal;;
temperature;PSSTTS01;UPAA
salinity;ODSDM021;UGKG
tco2kg01_kgum;TCO2KG01;KGUM
mdmap014_kgum;MDMAP014;KGUM
phmassxx;PHMASSXX;UUPH
dic;TCO2KG01;KGUM
dic_flag;;
alkalinity;ALKYPOTX;KGUM
alkalinity_flag;;
pH_spectro_total_lab;PHXXSP01;UUPH
pH_spectro_temperature;PHTXPR01;UPAA
pH_spectro_flag;;
nitrate;NTRAXXDZ;KGUM
nitrite;NTRIMADZ;KGUM
ammonia;AMONAAD4;KGUM
phosphate;PHOSKGD5;KGUM
silicate;SLCAAAD1;KGUM
doc;CORGZZZX;KGUM